237 E(eV) e

6.0000 -7.442180999999999 5.87618
5.98 -7.499887999999999 6.066816
5.96 -7.57302 6.158848
5.94 -7.489612999999999 6.261684
5.92 -7.634469000000001 6.340820000000001
5.9 -7.7194350000000025 6.459012
5.88 -7.738425 6.499712000000001
5.86 -7.815621 6.62302
5.84 -7.860344 6.68727
5.82 -7.898464 6.76995
5.8 -7.988335999999999 6.89997
5.78 -8.0724 6.972958
5.76 -8.109304 7.09863
5.74 -8.1685 7.184207999999999
5.719999999999999 -8.241779 7.2897
5.7 -8.292144 7.34432
5.68 -8.400199999999998 7.49265
5.659999999999999 -8.455979 7.629300000000001
5.64 -8.549277000000002 7.745036
5.619999999999999 -8.650875 7.879300000000001
5.6000000000000005 -8.723427 7.995764
5.580000000000001 -8.819759000000001 8.16684
5.559999999999999 -8.891625 8.3072
5.54 -8.985888 8.487665999999999
5.519999999999999 -9.051464000000001 8.66583
5.5 -9.107604 8.84936
5.48 -9.160716999999998 9.040956000000001
5.460000000000001 -9.186235 9.261852000000001
5.44 -9.217444 9.4872
5.420000000000001 -9.194856 9.707510000000001
5.4 -9.166115000000001 9.902772
5.38 -9.087419999999998 10.117472
5.36 -9.014747999999999 10.279136
5.34 -8.920191999999998 10.414944
5.32 -8.823808000000001 10.517256000000001
5.3 -8.749368000000002 10.588774
5.28 -8.683491 10.60682
5.26 -8.654236 10.63392
5.24 -8.651055 10.640607999999999
5.22 -8.667945 10.656848
5.2 -8.724395000000001 10.659012
5.18 -8.794372999999998 10.667436
5.16 -8.894651999999999 10.681664
5.14 -8.99208 10.702461999999999
5.12 -9.140135 10.721568
5.1 -9.29 10.773917999999998
5.08 -9.444501 10.83614
5.059999999999999 -9.627768 10.910825999999998
5.04 -9.819391999999999 10.988544000000001
5.02 -10.020328000000001 11.086554
5.000000000000001 -10.244325 11.1941
4.980000000000001 -10.464979 11.333699999999999
4.959999999999999 -10.695024 11.477120000000001
4.94 -10.959844 11.62656
4.919999999999999 -11.2254 11.802038
4.900000000000001 -11.504592 11.974306
4.88 -11.770857 12.185424000000001
4.860000000000001 -12.089300999999999 12.410060000000001
4.84 -12.400758999999999 12.64104
4.82 -12.729735 12.907408
4.8 -13.083477000000002 13.194364
4.78 -13.450031999999997 13.487725999999999
4.760000000000001 -13.84888 13.833791999999999
4.740000000000001 -14.279831999999999 14.214474000000001
4.719999999999999 -14.715352000000001 14.629014000000002
4.699999999999999 -15.189587999999995 15.092783999999998
4.68 -15.704063999999995 15.6078
4.659999999999999 -16.236915000000003 16.208012
4.640000000000001 -16.792160000000003 16.888488000000002
4.62 -17.354770999999996 17.68986
4.6 -17.93154 18.599728
4.579999999999999 -18.456215 19.618152000000002
4.56 -18.933201000000004 20.75372
4.540000000000001 -19.343732999999997 22.040644
4.519999999999999 -19.6392 23.441458
4.5 -19.819322999999997 24.911964
4.48 -19.886719999999997 26.481312
4.46 -19.812436000000005 28.112400000000004
4.44 -19.610159999999993 29.786162
4.42 -19.28774 31.548192000000004
4.3999999999999995 -18.823936000000003 33.346560000000004
4.38 -18.216432000000005 35.267074
4.36 -17.45026 37.291632
4.34 -16.333268999999994 39.50158
4.320000000000001 -14.767919999999998 41.869422
4.3 -12.410628999999993 44.08794
4.279999999999999 -9.455477000000005 45.779436
4.260000000000001 -6.129338999999998 46.6799
4.240000000000001 -2.931524999999997 46.756907999999996
4.22 -0.06731900000000479 46.24332
4.2 2.3722229999999946 45.350864
4.18 4.343080999999994 44.27136
4.16 5.978304000000005 43.15059
4.14 7.316384999999997 42.031591999999996
4.12 8.424747999999994 40.958064
4.1 9.367958999999994 39.94916
4.08 10.117216 39.013169999999995
4.06 10.775595999999995 38.131919999999994
4.04 11.341923999999997 37.33392
4.02 11.827724999999996 36.6095
4. 12.233530999999996 35.94174
3.9800000000000004 12.636240000000006 35.353522
3.96 13.010570999999999 34.83954
3.94 13.332040000000006 34.351722
3.9199999999999995 13.655147999999995 33.941264
3.8999999999999995 13.96454 33.567072
3.88 14.254340999999998 33.23902
3.8599999999999994 14.565216000000001 32.939949999999996
3.8399999999999994 14.891036000000001 32.67936
3.82 15.212182999999998 32.443943999999995
3.8000000000000007 15.529101000000004 32.23366
3.779999999999999 15.848524999999999 32.038332
3.7600000000000002 16.174640999999994 31.87432
3.74 16.534616 31.743690000000004
3.72 16.877715000000002 31.615172000000005
3.7000000000000006 17.232971999999997 31.534095999999998
3.68 17.58652 31.477962
3.6600000000000006 17.955174999999997 31.442567999999998
3.6400000000000006 18.321312 31.459234000000002
3.6199999999999997 18.708095999999998 31.51339
3.5999999999999996 19.125447 31.638304
3.58 19.574607 31.834576000000002
3.56 20.072433 32.125744
3.5399999999999996 20.681243000000002 32.532276
3.5199999999999996 21.421223999999995 33.07897
3.5 22.387904000000006 33.81708
3.4800000000000004 23.710613000000002 34.696115999999996
3.4599999999999995 25.600707 35.635124000000005
3.4400000000000004 28.183597000000006 36.31479600000001
3.4200000000000004 31.490703 36.346695999999994
3.4000000000000004 35.219459 35.284020000000005
3.38 38.791089 32.88584
3.36 41.481055000000005 29.481048
3.3399999999999994 43.13834099999999 25.54046
3.32 43.739472000000006 21.444046
3.3 43.26564 17.725178
3.2800000000000002 42.130125 14.6187
3.26 40.735279 12.19428
3.24 39.227630999999995 10.295079999999999
3.22 37.744429 8.83218
3.1999999999999997 36.350944 7.638120000000001
3.1799999999999997 35.06398300000001 6.673656000000001
3.1600000000000006 33.87393899999999 5.9004199999999996
3.1399999999999997 32.7856 5.238528
3.12 31.79466 4.704128
